repo,text_mode,provider,label,query,expected,embedded_nodes,embedding_build_ms,latency_ms,result_count,rank,reciprocal_rank,hit_at_5,hit_at_20
dagayn-structural-code,metadata,eval-token-hash,merge_ranked_results,function that uses reciprocal rank fusion to merge ranked search results,dagayn/search.py::rrf_merge,8185,628.54,9.178,20,0,0.0,0,0
dagayn-structural-code,metadata,eval-token-hash,read_bounded_source,function that reads bounded source span for embedding text,dagayn/embeddings.py::_read_node_source_excerpt,8185,628.54,0.174,20,14,0.0714,0,1
dagayn-structural-code,metadata,eval-token-hash,narrative_renderer,function that converts a graph node into deterministic natural language static code facts,dagayn/embeddings.py::_node_to_narrative_text,8185,628.54,0.15,20,0,0.0,0,0
dagayn-structural-code,metadata,eval-token-hash,text_mode_benchmark,function that calls embed all nodes for each text mode and measures ranking,dagayn/eval/benchmarks/embedding_text_modes.py::run,8185,628.54,0.137,20,0,0.0,0,0
dagayn-structural-code,metadata,eval-token-hash,temporary_embedding_store,function that creates temporary embedding store and searches configured queries,dagayn/eval/benchmarks/embedding_text_modes.py::run,8185,628.54,0.132,20,0,0.0,0,0
dagayn-structural-code,metadata,eval-token-hash,rebuild_fts,function that rebuilds full text search index and inserts nodes fts rows,crates/dagayn-graph/src/search.rs::GraphStore.rebuild_fts_index,8185,628.54,0.132,20,15,0.0667,0,1
dagayn-structural-code,metadata,eval-token-hash,missing_source_fallback,function that returns empty text when source file cannot be read,dagayn/embeddings.py::_read_node_source_excerpt,8185,628.54,0.116,20,0,0.0,0,0
dagayn-structural-code,metadata,eval-token-hash,static_fact_sentences,function that detects calls assignments returns branches loops and renders sentences,dagayn/embeddings.py::_node_to_narrative_text,8185,628.54,0.135,20,0,0.0,0,0
dagayn-structural-code,body,eval-token-hash,merge_ranked_results,function that uses reciprocal rank fusion to merge ranked search results,dagayn/search.py::rrf_merge,8185,1186.615,9.823,20,0,0.0,0,0
dagayn-structural-code,body,eval-token-hash,read_bounded_source,function that reads bounded source span for embedding text,dagayn/embeddings.py::_read_node_source_excerpt,8185,1186.615,0.188,20,0,0.0,0,0
dagayn-structural-code,body,eval-token-hash,narrative_renderer,function that converts a graph node into deterministic natural language static code facts,dagayn/embeddings.py::_node_to_narrative_text,8185,1186.615,0.147,20,0,0.0,0,0
