repo,text_mode,provider,label,query,expected,embedded_nodes,embedding_build_ms,latency_ms,result_count,rank,reciprocal_rank,hit_at_5,hit_at_20
dagayn-structural-code,metadata,eval-token-hash,merge_ranked_results,function that uses reciprocal rank fusion to merge ranked search results,dagayn/search.py::rrf_merge,8185,627.232,8.858,20,0,0.0,0,0
dagayn-structural-code,metadata,eval-token-hash,read_bounded_source,function that reads bounded source span for embedding text,dagayn/embeddings.py::_read_node_source_excerpt,8185,627.232,0.187,20,14,0.0714,0,1
dagayn-structural-code,metadata,eval-token-hash,narrative_renderer,function that converts a graph node into deterministic natural language static code facts,dagayn/embeddings.py::_node_to_narrative_text,8185,627.232,0.163,20,0,0.0,0,0
dagayn-structural-code,metadata,eval-token-hash,text_mode_benchmark,function that calls embed all nodes for each text mode and measures ranking,dagayn/eval/benchmarks/embedding_text_modes.py::run,8185,627.232,0.137,20,0,0.0,0,0
dagayn-structural-code,metadata,eval-token-hash,temporary_embedding_store,function that creates temporary embedding store and searches configured queries,dagayn/eval/benchmarks/embedding_text_modes.py::run,8185,627.232,0.144,20,0,0.0,0,0
dagayn-structural-code,metadata,eval-token-hash,rebuild_fts,function that rebuilds full text search index and inserts nodes fts rows,crates/dagayn-graph/src/search.rs::GraphStore.rebuild_fts_index,8185,627.232,0.142,20,15,0.0667,0,1
dagayn-structural-code,metadata,eval-token-hash,missing_source_fallback,function that returns empty text when source file cannot be read,dagayn/embeddings.py::_read_node_source_excerpt,8185,627.232,0.124,20,0,0.0,0,0
dagayn-structural-code,metadata,eval-token-hash,static_fact_sentences,function that detects calls assignments returns branches loops and renders sentences,dagayn/embeddings.py::_node_to_narrative_text,8185,627.232,0.128,20,0,0.0,0,0
dagayn-structural-code,metadata,eval-token-hash,tested_by_graph_fact,function tested by node to text embedding tests,dagayn/embeddings.py::_node_to_text,8185,627.232,0.112,20,16,0.0625,0,1
dagayn-structural-code,metadata,eval-token-hash,called_by_graph_fact,function called by embed all nodes while embedding graph nodes,dagayn/embeddings.py::_build_graph_facts_by_qualified_name,8185,627.232,0.117,20,0,0.0,0,0
dagayn-structural-code,body,eval-token-hash,merge_ranked_results,function that uses reciprocal rank fusion to merge ranked search results,dagayn/search.py::rrf_merge,8185,1177.058,9.29,20,0,0.0,0,0
dagayn-structural-code,body,eval-token-hash,read_bounded_source,function that reads bounded source span for embedding text,dagayn/embeddings.py::_read_node_source_excerpt,8185,1177.058,0.18,20,0,0.0,0,0
dagayn-structural-code,body,eval-token-hash,narrative_renderer,function that converts a graph node into deterministic natural language static code facts,dagayn/embeddings.py::_node_to_narrative_text,8185,1177.058,0.15,20,0,0.0,0,0
dagayn-structural-code,body,eval-token-hash,text_mode_benchmark,function that calls embed all nodes for each text mode and measures ranking,dagayn/eval/benchmarks/embedding_text_modes.py::run,8185,1177.058,0.144,20,6,0.1667,0,1
dagayn-structural-code,body,eval-token-hash,temporary_embedding_store,function that creates temporary embedding store and searches configured queries,dagayn/eval/benchmarks/embedding_text_modes.py::run,8185,1177.058,0.135,20,0,0.0,0,0
dagayn-structural-code,body,eval-token-hash,rebuild_fts,function that rebuilds full text search index and inserts nodes fts rows,crates/dagayn-graph/src/search.rs::GraphStore.rebuild_fts_index,8185,1177.058,0.132,20,0,0.0,0,0
dagayn-structural-code,body,eval-token-hash,missing_source_fallback,function that returns empty text when source file cannot be read,dagayn/embeddings.py::_read_node_source_excerpt,8185,1177.058,0.133,20,0,0.0,0,0
dagayn-structural-code,body,eval-token-hash,static_fact_sentences,function that detects calls assignments returns branches loops and renders sentences,dagayn/embeddings.py::_node_to_narrative_text,8185,1177.058,0.137,20,0,0.0,0,0
dagayn-structural-code,body,eval-token-hash,tested_by_graph_fact,function tested by node to text embedding tests,dagayn/embeddings.py::_node_to_text,8185,1177.058,0.109,20,0,0.0,0,0
dagayn-structural-code,body,eval-token-hash,called_by_graph_fact,function called by embed all nodes while embedding graph nodes,dagayn/embeddings.py::_build_graph_facts_by_qualified_name,8185,1177.058,0.107,20,0,0.0,0,0
dagayn-structural-code,structured,eval-token-hash,merge_ranked_results,function that uses reciprocal rank fusion to merge ranked search results,dagayn/search.py::rrf_merge,8185,1182.773,8.988,20,0,0.0,0,0
dagayn-structural-code,structured,eval-token-hash,read_bounded_source,function that reads bounded source span for embedding text,dagayn/embeddings.py::_read_node_source_excerpt,8185,1182.773,0.201,20,0,0.0,0,0
dagayn-structural-code,structured,eval-token-hash,narrative_renderer,function that converts a graph node into deterministic natural language static code facts,dagayn/embeddings.py::_node_to_narrative_text,8185,1182.773,0.146,20,0,0.0,0,0
dagayn-structural-code,structured,eval-token-hash,text_mode_benchmark,function that calls embed all nodes for each text mode and measures ranking,dagayn/eval/benchmarks/embedding_text_modes.py::run,8185,1182.773,0.143,20,7,0.1429,0,1
dagayn-structural-code,structured,eval-token-hash,temporary_embedding_store,function that creates temporary embedding store and searches configured queries,dagayn/eval/benchmarks/embedding_text_modes.py::run,8185,1182.773,0.13,20,0,0.0,0,0
dagayn-structural-code,structured,eval-token-hash,rebuild_fts,function that rebuilds full text search index and inserts nodes fts rows,crates/dagayn-graph/src/search.rs::GraphStore.rebuild_fts_index,8185,1182.773,0.126,20,0,0.0,0,0
dagayn-structural-code,structured,eval-token-hash,missing_source_fallback,function that returns empty text when source file cannot be read,dagayn/embeddings.py::_read_node_source_excerpt,8185,1182.773,0.135,20,0,0.0,0,0
dagayn-structural-code,structured,eval-token-hash,static_fact_sentences,function that detects calls assignments returns branches loops and renders sentences,dagayn/embeddings.py::_node_to_narrative_text,8185,1182.773,0.127,20,0,0.0,0,0
